,Nb process http,Nb process php,Nb connection mysql,Disque write global,Ram http,Ram php,Ram global
2020-09-11 23:50:00,184.0,34.0,47.0,173.57,1.6,2.9,22.25
2020-09-11 23:51:00,201.0,35.0,49.0,265.14,1.8,3.0,22.49
2020-09-11 23:52:00,169.0,34.0,55.0,273.47,1.6,3.0,22.16
2020-09-11 23:53:00,181.0,37.0,44.0,166.3,1.7,3.2,22.07
2020-09-11 23:54:00,215.0,37.0,47.0,169.95,2.1,3.1,22.39
2020-09-11 23:55:00,203.0,35.0,56.0,335.12,2.1,3.0,22.38
2020-09-11 23:56:00,166.0,31.0,46.0,300.33,1.7,2.9,22.05
2020-09-11 23:57:00,195.0,33.0,44.0,165.18,2.0,2.8,22.14
2020-09-11 23:58:00,191.0,34.0,53.0,243.77,1.8,2.8,22.14
2020-09-11 23:59:00,205.0,32.0,44.0,156.33,1.5,2.9,21.97
2020-09-12 00:00:00,166.0,34.0,49.0,254.44,1.7,2.8,22.02
2020-09-12 00:01:00,159.0,34.0,44.0,343.95,1.6,3.0,22.0
2020-09-12 00:02:00,153.0,33.0,53.0,265.3,1.6,2.9,22.42
2020-09-12 00:03:00,174.0,33.0,58.0,256.23,1.8,2.8,22.39
2020-09-12 00:04:00,171.0,33.0,52.0,222.32,1.6,2.9,22.15
2020-09-12 00:05:00,172.0,36.0,60.0,238.23,1.7,3.1,22.18
2020-09-12 00:06:00,181.0,33.0,44.0,232.52,1.9,3.0,22.02
2020-09-12 00:07:00,187.0,33.0,52.0,297.7,2.0,3.0,22.14
2020-09-12 00:08:00,156.0,32.0,46.0,212.88,1.7,2.8,22.19
2020-09-12 00:09:00,197.0,32.0,47.0,236.68,2.1,2.7,22.11
2020-09-12 00:10:00,177.0,33.0,44.0,148.24,1.9,2.8,22.08
2020-09-12 00:11:00,142.0,31.0,47.0,273.43,1.5,2.7,22.23
2020-09-12 00:12:00,159.0,33.0,41.0,316.02,1.7,2.8,22.22
2020-09-12 00:13:00,182.0,32.0,64.0,288.83,1.9,2.7,22.47
2020-09-12 00:14:00,141.0,35.0,57.0,183.89,1.5,3.2,23.42
2020-09-12 00:15:00,217.0,38.0,54.0,174.53,2.2,3.3,23.99
2020-09-12 00:16:00,179.0,37.0,42.0,158.75,1.9,3.1,23.87
2020-09-12 00:17:00,162.0,35.0,55.0,245.82,1.7,3.0,23.64
2020-09-12 00:18:00,208.0,33.0,44.0,195.55,2.2,3.0,23.87
2020-09-12 00:19:00,187.0,33.0,59.0,162.33,2.0,2.8,23.71
2020-09-12 00:20:00,145.0,39.0,50.0,184.9,1.5,3.2,23.09
2020-09-12 00:21:00,154.0,35.0,45.0,175.24,1.6,2.8,22.08
2020-09-12 00:22:00,169.0,34.0,48.0,163.52,1.8,2.8,22.1
2020-09-12 00:23:00,183.0,33.0,44.0,161.04,1.9,3.0,22.15
2020-09-12 00:24:00,198.0,36.0,42.0,262.84,2.0,3.0,22.09
2020-09-12 00:25:00,156.0,32.0,55.0,380.54,1.7,2.9,22.37
2020-09-12 00:26:00,200.0,34.0,50.0,276.37,2.1,3.0,22.37
2020-09-12 00:27:00,221.0,37.0,44.0,161.88,2.3,3.1,22.42
2020-09-12 00:28:00,182.0,33.0,42.0,179.67,1.9,3.1,22.19
2020-09-12 00:29:00,164.0,32.0,45.0,284.83,1.7,2.9,22.19
2020-09-12 00:30:00,175.0,32.0,42.0,167.62,1.8,2.7,22.09
2020-09-12 00:31:00,153.0,34.0,46.0,301.01,1.6,2.9,22.13
2020-09-12 00:32:00,148.0,31.0,61.0,339.64,1.5,2.8,22.22
2020-09-12 00:33:00,192.0,33.0,43.0,179.24,2.0,2.9,22.1
2020-09-12 00:34:00,169.0,38.0,43.0,239.49,1.8,3.1,22.03
2020-09-12 00:35:00,145.0,32.0,45.0,242.98,1.4,2.9,22.01
2020-09-12 00:36:00,184.0,32.0,45.0,204.93,1.9,2.8,22.19
2020-09-12 00:37:00,150.0,33.0,53.0,292.44,1.6,2.8,22.41
2020-09-12 00:38:00,141.0,33.0,48.0,251.52,1.5,3.0,22.1
2020-09-12 00:39:00,189.0,32.0,46.0,167.17,1.9,2.8,22.22
2020-09-12 00:40:00,148.0,33.0,46.0,181.11,1.6,3.0,22.12
2020-09-12 00:41:00,169.0,32.0,50.0,289.91,1.8,2.8,22.31
2020-09-12 00:42:00,185.0,32.0,53.0,165.48,1.9,2.8,22.19
2020-09-12 00:43:00,148.0,32.0,48.0,147.02,1.5,2.8,22.17
2020-09-12 00:44:00,143.0,33.0,48.0,137.02,1.5,2.9,22.02
2020-09-12 00:45:00,176.0,33.0,58.0,280.9,1.8,2.8,22.3
2020-09-12 00:46:00,147.0,32.0,56.0,181.52,1.5,2.8,22.23
2020-09-12 00:47:00,159.0,35.0,50.0,265.8,1.7,3.1,22.36
2020-09-12 00:48:00,182.0,33.0,53.0,189.01,1.9,2.9,22.57
2020-09-12 00:49:00,161.0,35.0,50.0,161.99,1.7,3.0,22.14
2020-09-12 00:50:00,194.0,38.0,51.0,162.44,2.0,3.4,22.23
2020-09-12 00:51:00,184.0,32.0,44.0,188.34,1.9,2.8,22.18
2020-09-12 00:52:00,175.0,33.0,47.0,178.1,1.8,2.9,22.18
2020-09-12 00:53:00,188.0,35.0,49.0,168.62,1.9,3.2,22.3
2020-09-12 00:54:00,200.0,34.0,47.0,167.05,2.0,2.9,22.23
2020-09-12 00:55:00,179.0,35.0,46.0,373.74,1.8,2.9,22.24
2020-09-12 00:56:00,194.0,33.0,46.0,189.52,2.0,3.0,22.19
2020-09-12 00:57:00,118.0,34.0,48.0,5666.5,1.2,2.8,21.89
2020-09-12 00:58:00,172.0,33.0,49.0,204.39,1.8,2.9,22.18
2020-09-12 00:59:00,155.0,33.0,50.0,163.6,1.6,2.9,22.31
2020-09-12 01:00:00,172.0,36.0,47.0,279.18,1.8,3.1,22.05
2020-09-12 01:01:00,184.0,38.0,42.0,357.38,1.9,3.2,22.0
2020-09-12 01:02:00,199.0,31.0,41.0,313.38,2.0,2.8,22.0
2020-09-12 01:03:00,211.0,32.0,41.0,244.21,2.1,2.8,22.13
2020-09-12 01:04:00,187.0,32.0,48.0,154.39,1.9,2.7,22.2
2020-09-12 01:05:00,167.0,33.0,47.0,327.71,1.7,2.8,22.13
2020-09-12 01:06:00,153.0,31.0,47.0,211.3,1.6,2.7,22.04
2020-09-12 01:07:00,155.0,32.0,47.0,209.44,1.6,2.8,22.07
2020-09-12 01:08:00,137.0,32.0,41.0,208.48,1.4,2.7,21.95
