Date,Values
1998-08-31,1.7675
1998-09-30,1.82025
1998-10-31,1.862763
1998-11-30,1.896973
1998-12-31,1.505833
1999-01-31,1.315384
1999-02-28,1.33
1999-03-31,1.3225
1999-04-30,1.238906
1999-05-31,1.401842
1999-06-30,1.646136
1999-07-31,1.9
1999-08-31,1.619852
1999-09-30,1.306052
1999-10-31,1.1575
1999-11-30,1.157708
1999-12-31,1.1285
2000-01-31,1.109
2000-02-29,1.113913
2000-03-31,1.103157
2000-04-30,1.095
2000-05-31,1.205
2000-06-30,1.2345
2000-07-31,1.245978
2000-08-31,1.29525
2000-09-30,1.04625
2000-10-31,1.05875
2000-11-30,1.12325
2000-12-31,1.09119
2001-01-31,1.218421
2001-02-28,1.316136
2001-03-31,1.418
2001-04-30,1.602272
2001-05-31,1.65988
2001-06-30,1.66988
2001-07-31,1.712608
2001-08-31,1.717352
2001-09-30,1.334565
2001-10-31,1.26675
2001-11-30,1.256666
2001-12-31,1.324166
2002-01-31,1.207631
2002-02-28,1.213
2002-03-31,1.244772
2002-04-30,1.200909
2002-05-31,1.129875
2002-06-30,1.088928
2002-07-31,1.1575
2002-08-31,1.204125
2002-09-30,1.195
2002-10-31,1.089078
2002-11-30,1.131052
2002-12-31,1.150714
2003-01-31,1.091973
2003-02-28,1.081666
2003-03-31,1.1225
2003-04-30,1.142142
2003-05-31,1.186428
2003-06-30,1.512272
2003-07-31,1.6
2003-08-31,1.6
2003-09-30,1.587608
2003-10-31,1.393194
2003-11-30,1.338333
2003-12-31,1.306184
2004-01-31,1.395789
2004-02-29,1.819673
2004-03-31,2.16869
2004-04-30,1.9925
2004-05-31,1.710476
2004-06-30,1.448571
2004-07-31,1.573409
2004-08-31,1.570238
2004-09-30,1.517023
2004-10-31,1.696
2004-11-30,1.592261
2004-12-31,1.626875
2005-01-31,1.492894
2005-02-28,1.531704
2005-03-31,1.541309
2005-04-30,1.47659
2005-05-31,1.506477
2005-06-30,1.5035
2005-07-31,1.424891
2005-08-31,1.563928
2005-09-30,1.447023
2005-10-31,1.375625
2005-11-30,1.42238
2005-12-31,1.3335
2006-01-31,1.198947
2006-02-28,1.163804
2006-03-31,1.165131
2006-04-30,1.185454
2006-05-31,1.192386
2006-06-30,1.163026
2006-07-31,1.235434
2006-08-31,1.29325
2006-09-30,1.234659
2006-10-31,1.3745
2006-11-30,1.32225
2006-12-31,1.318
2007-01-31,1.340789
