Date,Values
2007-02-28,1.382272
2007-03-31,1.46275
2007-04-30,1.721136
2007-05-31,2.01
2007-06-30,1.913809
2007-07-31,1.955434
2007-08-31,1.992894
2007-09-30,1.895652
2007-10-31,2.092625
2007-11-30,2.008333
2007-12-31,1.825714
2008-01-31,2.00225
2008-02-29,1.823375
2008-03-31,1.882613
2008-04-30,2.097619
2008-05-31,2.035
2008-06-30,1.967272
2008-07-31,1.739761
2008-08-31,1.87619
2008-09-30,1.796304
2008-10-31,1.709861
2008-11-30,1.513214
2008-12-31,1.083289
2009-01-31,1.217105
2009-02-28,1.245454
2009-03-31,1.204523
2009-04-30,1.139375
2009-05-31,1.13534
2009-06-30,1.15159
2009-07-31,1.347142
2009-08-31,1.329404
2009-09-30,1.470909
2009-10-31,1.578815
2009-11-30,1.65034
2009-12-31,1.453552
2010-01-31,1.452631
2010-02-28,1.297608
2010-03-31,1.418214
2010-04-30,1.442
2010-05-31,1.396136
2010-06-30,1.546944
2010-07-31,1.636704
2010-08-31,1.73738
2010-09-30,1.724642
2010-10-31,1.461875
2010-11-30,1.383571
2010-12-31,1.514
2011-01-31,1.906447
2011-02-28,1.8125
2011-03-31,1.602368
2011-04-30,1.685833
2011-05-31,2.097894
2011-06-30,2.112894
2011-07-31,1.966704
2011-08-31,1.756071
2011-09-30,1.723095
2011-10-31,1.871625
2011-11-30,1.617023
2011-12-31,1.556666
2012-01-31,1.47925
2012-02-29,1.520595
2012-03-31,1.502236
2012-04-30,1.523409
2012-05-31,1.631309
2012-06-30,1.682105
2012-07-31,1.825
2012-08-31,1.935588
2012-09-30,2.075652
2012-10-31,1.927812
2012-11-30,1.743947
2012-12-31,1.696547
2013-01-31,1.641973
2013-02-28,1.624
2013-03-31,1.8225
2013-04-30,1.805227
2013-05-31,1.714
2013-06-30,1.707159
2013-07-31,1.749318
2013-08-31,1.795625
2013-09-30,1.823586
2013-10-31,1.847763
2013-11-30,1.943095
2013-12-31,2.222738
2014-01-31,2.194473
2014-02-28,2.355357
2014-03-31,2.243928
2014-04-30,2.015476
2014-05-31,2.02369
2014-06-30,1.987045
2014-07-31,2.182023
2014-08-31,2.34988
2014-09-30,2.193152
2014-10-31,1.95125
2014-11-30,1.59375
2014-12-31,1.52175
2015-01-31,1.538157
2015-02-28,1.554886
2015-03-31,1.589047
2015-04-30,1.63075
2015-05-31,1.705227
2015-06-30,1.665909
2015-07-31,1.711071
2015-08-31,1.660476
2015-09-30,1.667386
2015-10-31,1.617631
2015-11-30,1.46159
2015-12-31,1.475657
2016-01-31,1.474375
2016-02-29,1.487727
2016-03-31,1.419404
2016-04-30,1.31738
2016-05-31,1.500454
2016-06-30,1.66125
2016-07-31,1.782608
2016-08-31,1.62238
2016-09-30,1.603452
2016-10-31,1.8775
2016-11-30,1.733452
2016-12-31,1.686625
2017-01-31,1.619868
2017-02-28,1.434239
2017-03-31,1.497631
2017-04-30,1.626363
2017-05-31,1.602159
2017-06-30,1.658625
2017-07-31,1.685217
2017-08-31,1.637
2017-09-30,1.730454
2017-10-31,1.659
2017-11-30,1.49
2017-12-31,1.493809
2018-01-31,1.515657
2018-02-28,1.561428
2018-03-31,1.60619
2018-04-30,1.639659
2018-05-31,1.561666
2018-06-30,1.536428
2018-07-31,1.63413
2018-08-31,1.643815
2018-09-30,1.587391
2018-10-31,1.395125
2018-11-30,1.376375
2018-12-31,1.399218
