Date,Values
1998-08-31,1.153611
1998-09-30,1.165
1998-10-31,1.165625
1998-11-30,1.16125
1998-12-31,1.07
1999-01-31,1.05
1999-02-28,1.05
1999-07-31,1.05
1999-08-31,1.03
1999-10-31,1.03
1999-12-31,1.03
2000-01-31,1.03
2000-02-29,1.03
2000-03-31,1.03
2000-04-30,1.03
2000-05-31,1.03
2000-06-30,1.03
2000-07-31,1.03
2000-08-31,1.03
2000-09-30,1.03
2000-10-31,1.03
2000-11-30,1.03
2000-12-31,1.03
2001-01-31,1.03
2001-02-28,1.03
2001-03-31,1.0355
2001-04-30,1.04
2001-05-31,1.04
2001-06-30,1.011428
2001-07-31,1
2001-08-31,1
2001-09-30,1
2001-10-31,1
2001-11-30,1
2001-12-31,1
2002-01-31,1
2002-02-28,0.9595
2002-03-31,0.87
2002-04-30,0.878181
2002-05-31,0.9
2002-06-30,0.909761
2002-07-31,0.92
2002-08-31,0.92
2002-09-30,0.928695
2002-10-31,0.93
2002-11-30,0.920526
2002-12-31,0.891904
2003-01-31,0.89
2003-02-28,0.840952
2003-03-31,0.84
2003-04-30,0.84
2003-05-31,0.84
2003-06-30,0.84
2003-07-31,0.84
2003-08-31,0.84
2003-09-30,0.84
2003-10-31,0.84
2003-11-30,0.84
2003-12-31,0.84
2004-01-31,0.84
2004-02-29,0.84
2004-03-31,0.902619
2004-04-30,0.928
2004-05-31,0.92
2004-06-30,0.873333
2004-07-31,0.85
2004-08-31,0.85
2004-09-30,0.85
2004-10-31,0.85
2004-11-30,0.857619
2004-12-31,0.908
2005-01-31,0.993157
2005-02-28,0.983522
2005-03-31,0.9825
2005-04-30,0.9825
2005-05-31,0.9825
2005-06-30,0.9825
2005-07-31,0.9825
2005-08-31,0.9825
2005-09-30,0.986071
2005-10-31,0.995
2005-11-30,0.995
2005-12-31,0.942875
2006-01-31,0.8875
2006-02-28,0.8875
2006-03-31,0.8875
2006-04-30,0.8875
2006-05-31,0.884318
2006-06-30,0.87
2006-07-31,0.892173
2006-08-31,0.906
2006-09-30,1.429545
2006-10-31,1.65
2006-11-30,1.615
2006-12-31,1.51
2007-01-31,1.471842
2007-02-28,1.58659
2007-03-31,1.65
2007-04-30,1.992727
2007-05-31,2.11
2007-06-30,2.11
2007-07-31,2.11
2007-08-31,2.11
2007-09-30,2.086086
2007-10-31,1.8615
2007-11-30,1.823333
2007-12-31,1.568809
2008-01-31,1.4
2008-02-29,1.325
2008-03-31,1.314772
2008-04-30,1.428571
2008-05-31,1.456904
2008-06-30,1.447045
2008-07-31,1.425476
2008-08-31,1.235714
2008-09-30,1.00826
2008-10-31,0.924166
2008-11-30,0.887738
2008-12-31,0.83
2009-01-31,0.831052
2009-02-28,0.836477
2009-03-31,0.853095
2009-04-30,0.884
2009-05-31,0.897272
2009-06-30,0.890909
2009-07-31,0.985
2009-08-31,1.032142
2009-09-30,1.285681
2009-10-31,1.380263
2009-11-30,1.383181
2009-12-31,1.305789
2010-01-31,1.132222
2010-02-28,1.135384
2010-03-31,1.27488
2010-04-30,1.314852
2010-05-31,1.25409
2010-06-30,1.214523
2010-07-31,1.206136
2010-08-31,1.229285
2010-09-30,1.229047
2010-10-31,1.225
2010-11-30,1.250833
2010-12-31,1.451375
2011-01-31,1.778421
2011-02-28,1.78163
2011-03-31,1.642625
2011-04-30,1.633809
2011-05-31,1.642916
2011-06-30,1.583235
2011-07-31,1.51
2011-08-31,1.492105
2011-09-30,1.476666
2011-10-31,1.43975
2011-11-30,1.45
2011-12-31,1.44125
2012-01-31,1.319558
2012-02-29,1.26988
2012-03-31,1.208815
2012-04-30,1.13625
2012-05-31,1.213625
2012-06-30,1.298571
2012-07-31,1.562173
2012-08-31,1.688823
2012-09-30,1.603125
2012-10-31,1.5675
2012-11-30,1.5575
2012-12-31,1.538333
2013-01-31,1.510131
2013-02-28,1.51325
2013-03-31,1.739545
2013-04-30,1.700227
2013-05-31,1.706625
2013-06-30,1.758295
2013-07-31,1.793863
2013-08-31,1.82575
2013-09-30,1.860108
2013-10-31,1.955394
2013-11-30,2.07619
2013-12-31,2.070476
2014-01-31,2.032894
2014-02-28,2.032976
2014-03-31,1.899404
2014-04-30,1.791904
2014-05-31,1.83488
2014-06-30,1.71659
2014-07-31,1.436547
2014-08-31,1.355357
2014-09-30,1.334456
2014-10-31,1.172361
2014-11-30,1.050568
2014-12-31,0.98975
2015-01-31,1.10671
2015-02-28,1.010795
2015-03-31,0.941547
2015-04-30,0.922625
2015-05-31,0.873409
2015-06-30,0.762159
2015-07-31,0.732857
2015-08-31,0.904523
2015-09-30,0.933295
2015-10-31,0.782236
2015-11-30,0.768522
2015-12-31,0.731184
2016-01-31,0.741
2016-02-29,0.74125
2016-03-31,0.730595
2016-04-30,0.787976
2016-05-31,0.847613
2016-06-30,0.86375
2016-07-31,0.845434
2016-08-31,0.915952
2016-09-30,0.885238
2016-10-31,0.891375
2016-11-30,1.001904
2016-12-31,1.00425
2017-01-31,0.9
2017-02-28,0.808043
2017-03-31,0.834736
2017-04-30,0.88875
2017-05-31,0.890227
2017-06-30,0.861625
2017-07-31,0.84913
2017-08-31,0.832
2017-09-30,0.776136
2017-10-31,0.723375
2017-11-30,0.675875
2017-12-31,0.692619
2018-01-31,0.709736
2018-02-28,0.680833
2018-03-31,0.765595
2018-04-30,0.84409
2018-05-31,0.779047
2018-06-30,0.778333
2018-07-31,0.849673
2018-08-31,0.884473
2018-09-30,0.86913
2018-10-31,0.885625
2018-11-30,0.924125
2018-12-31,1.00625
