,Net In Global,Net Out Global,Nb process http,Nb process php,Nb connection mysql,Disque read global,Disque write global,Cpu http,Cpu php,Cpu mysql,Cpu global,Ram http,Ram php,Ram mysql,Ram global
2020-09-11 19:54:00,0.07,0.09,189.0,32.0,52.0,0.0,311.27,0.12,17.61,8.69,4.6,1.9,3.1,10.7,22.06
2020-09-11 19:55:00,0.07,0.1,178.0,31.0,46.0,0.0,287.05,0.22,16.82,8.69,4.25,1.6,2.9,10.7,22.0
2020-09-11 19:56:00,0.07,0.09,198.0,31.0,48.0,0.0,147.4,0.31,16.81,8.69,3.94,1.5,2.9,10.7,22.01
2020-09-11 19:57:00,0.07,0.09,214.0,33.0,56.0,0.0,222.04,0.53,17.93,8.69,4.79,1.7,2.9,10.7,22.14
2020-09-11 19:58:00,0.07,0.09,204.0,33.0,43.0,0.0,161.75,0.53,18.21,8.69,4.6,1.8,2.9,10.7,21.99
2020-09-11 19:59:00,0.1,0.13,222.0,34.0,53.0,0.0,141.02,0.59,18.02,8.69,4.66,1.7,2.9,10.7,22.09
2020-09-11 20:00:00,0.09,0.12,209.0,33.0,50.0,0.0,176.5,0.14,17.51,8.69,4.29,1.9,3.1,10.7,22.12
2020-09-11 20:01:00,0.08,0.1,194.0,32.0,45.0,0.0,201.03,0.23,17.01,8.69,4.23,1.8,2.8,10.7,22.13
2020-09-11 20:02:00,0.08,0.1,216.0,32.0,50.0,0.0,178.16,0.73,16.96,8.69,3.55,1.6,2.9,10.7,22.21
2020-09-11 20:03:00,0.07,0.09,191.0,33.0,49.0,0.0,147.27,0.14,17.4,8.69,6.74,1.8,3.0,10.7,22.18
2020-09-11 20:04:00,0.07,0.09,240.0,34.0,43.0,0.0,387.84,1.66,18.09,8.69,7.66,1.6,2.9,10.7,22.08
2020-09-11 20:05:00,0.07,0.09,193.0,34.0,59.0,0.0,273.74,0.23,18.01,8.69,4.78,2.0,2.9,10.7,22.51
2020-09-11 20:06:00,0.08,0.1,236.0,32.0,54.0,0.0,203.13,1.14,17.11,8.69,7.0,1.6,2.8,10.7,22.13
2020-09-11 20:07:00,0.07,0.09,215.0,34.0,52.0,0.0,207.91,0.26,18.68,8.69,7.3,2.0,3.0,10.7,22.18
2020-09-11 20:08:00,0.08,0.1,229.0,36.0,54.0,0.0,175.2,0.49,18.68,8.69,7.58,1.8,3.2,10.7,22.35
2020-09-11 20:09:00,0.1,0.14,238.0,33.0,58.0,0.0,173.43,0.7,17.9,8.69,9.72,1.9,3.0,10.7,22.2
2020-09-11 20:10:00,0.1,0.12,216.0,38.0,47.0,0.0,190.57,0.21,22.39,8.69,7.34,2.0,3.3,10.7,22.21
2020-09-11 20:11:00,0.1,0.12,225.0,35.0,48.0,0.0,249.28,0.21,19.39,8.69,8.7,1.8,2.9,10.7,22.25
2020-09-11 20:12:00,0.08,0.1,217.0,37.0,56.0,0.0,148.56,0.16,21.46,8.69,8.72,1.9,3.1,10.7,22.3
2020-09-11 20:13:00,0.08,0.09,230.0,39.0,57.0,0.0,239.83,0.37,21.29,8.69,9.04,1.8,3.2,10.7,22.28
2020-09-11 20:14:00,0.08,0.1,221.0,33.0,52.0,0.0,176.03,0.17,17.33,8.69,8.77,1.9,2.9,10.7,22.36
2020-09-11 20:15:00,0.07,0.09,206.0,34.0,52.0,0.0,230.18,0.17,18.58,8.69,8.38,1.9,2.9,10.7,22.22
2020-09-11 20:16:00,0.08,0.1,223.0,39.0,52.0,0.0,238.01,0.49,20.06,8.69,8.0,1.7,3.3,10.7,22.14
2020-09-11 20:17:00,0.08,0.11,233.0,32.0,49.0,0.0,250.56,0.83,17.51,8.69,8.51,1.9,2.8,10.7,22.06
2020-09-11 20:18:00,0.08,0.1,243.0,33.0,50.0,0.0,281.99,0.81,17.94,8.69,7.27,2.0,3.2,10.7,22.24
2020-09-11 20:19:00,0.1,0.13,209.0,34.0,41.0,0.0,176.82,0.07,18.35,8.69,7.82,2.1,2.9,10.7,22.06
2020-09-11 20:20:00,0.09,0.12,231.0,34.0,52.0,0.0,209.96,0.4,19.12,8.69,9.37,1.8,3.1,10.7,22.02
2020-09-11 20:21:00,0.09,0.12,201.0,32.0,43.0,0.0,320.08,0.06,17.21,8.69,8.58,2.0,2.8,10.7,22.09
2020-09-11 20:22:00,0.08,0.1,215.0,32.0,47.0,0.0,177.7,0.41,16.86,8.69,8.43,1.7,2.9,10.7,22.15
2020-09-11 20:23:00,0.07,0.09,224.0,33.0,51.0,0.0,241.34,0.67,17.78,8.69,6.83,1.8,3.0,10.7,22.22
2020-09-11 20:24:00,0.07,0.09,223.0,32.0,53.0,0.0,269.34,0.21,17.41,8.69,7.65,1.9,2.8,10.7,22.09
2020-09-11 20:25:00,0.07,0.09,233.0,32.0,61.0,0.0,175.8,1.23,17.93,8.69,6.64,1.9,3.0,10.7,22.2
2020-09-11 20:26:00,0.07,0.1,195.0,34.0,50.0,0.0,158.82,0.19,18.34,8.69,8.4,2.0,3.1,10.7,22.24
2020-09-11 20:27:00,0.07,0.09,213.0,34.0,50.0,0.0,226.95,0.69,18.88,8.69,6.54,1.6,3.0,10.7,21.99
2020-09-11 20:28:00,0.09,0.11,222.0,33.0,49.0,0.0,172.03,1.14,17.61,8.69,7.64,1.7,3.0,10.7,22.06
2020-09-11 20:29:00,0.1,0.13,231.0,34.0,48.0,0.0,137.3,0.89,18.29,8.69,7.55,1.8,3.0,10.7,22.09
2020-09-11 20:30:00,0.09,0.11,212.0,33.0,57.0,0.0,317.36,0.21,18.44,8.69,6.02,1.9,3.0,10.7,22.22
2020-09-11 20:31:00,0.09,0.12,198.0,32.0,54.0,0.0,202.38,0.21,17.31,8.69,4.99,1.8,2.8,10.7,22.13
2020-09-11 20:32:00,0.09,0.11,216.0,32.0,48.0,0.0,170.82,1.04,17.45,8.69,4.91,1.6,3.0,10.7,22.08
2020-09-11 20:33:00,0.08,0.09,181.0,32.0,45.0,0.0,235.28,0.14,17.34,8.69,6.58,1.8,2.9,10.7,22.1
2020-09-11 20:34:00,0.08,0.1,218.0,33.0,56.0,0.0,201.92,0.96,18.21,8.69,7.41,1.5,2.9,10.7,22.1
